Age,Gender,Education Level,Income Level,Region,Exercise Frequency,Diet Type,Current Supplement Usage,Interest in Scientific Wellness,Health Priorities,Spending Range,Estimated Monthly Spending (AED),Interest in DNA-Based Wellness Concept
43,Female,High School,>20000 AED,Sharjah,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Weight Management, Anti-Aging, Energy Levels, Skin Health, Fitness Performance",200-500 AED,338.61,Highly Interested
40,Female,Bachelor’s,10000-20000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Neutral,"Immunity Boost, Energy Levels, Fitness Performance",1000-2000 AED,1903.03,Highly Interested
26,Female,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Vegan,No,Neutral,"Anti-Aging, Energy Levels",<200 AED,120.34,Interested
29,Male,Master’s,2000-5000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Skin Health, Weight Management, Fitness Performance",500-1000 AED,931.78,Highly Interested
18,Male,Doctorate,10000-20000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Neutral,"Immunity Boost, Skin Health, Fitness Performance, Energy Levels, Weight Management",1000-2000 AED,1340.95,Highly Interested
18,Male,Master’s,5000-10000 AED,Sharjah,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Mental Wellness",500-1000 AED,949.76,Highly Interested
64,Female,High School,10000-20000 AED,Other,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Fitness Performance, Mental Wellness",500-1000 AED,970.44,Highly Interested
51,Male,Bachelor’s,10000-20000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Energy Levels, Weight Management, Mental Wellness",>2000 AED,2670.86,Interested
49,Female,High School,<2000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Mental Wellness, Fitness Performance, Weight Management",200-500 AED,399.33,Interested
42,Female,Master’s,<2000 AED,Abu Dhabi,3-4 times/week,Vegetarian,Yes,Very Interested,"Anti-Aging, Immunity Boost, Skin Health, Energy Levels",<200 AED,281.1,Highly Interested
57,Female,Master’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Keto/Low Carb,Yes,Somewhat Interested,"Skin Health, Immunity Boost, Fitness Performance, Mental Wellness",500-1000 AED,917.77,Highly Interested
62,Prefer not to say,Doctorate,2000-5000 AED,Dubai,3-4 times/week,Vegetarian,No,Very Interested,"Anti-Aging, Skin Health, Fitness Performance, Weight Management",<200 AED,484.65,Highly Interested
18,Female,Bachelor’s,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Very Interested,"Fitness Performance, Immunity Boost",>2000 AED,2775.08,Interested
33,Female,Doctorate,>20000 AED,Sharjah,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Skin Health, Weight Management",200-500 AED,386.58,Highly Interested
56,Male,Master’s,5000-10000 AED,Ajman,1-2 times/week,Vegan,No,Somewhat Interested,"Energy Levels, Anti-Aging, Immunity Boost, Mental Wellness, Fitness Performance",1000-2000 AED,1606.79,Interested
22,Female,Bachelor’s,10000-20000 AED,Sharjah,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Immunity Boost, Mental Wellness, Energy Levels, Skin Health",1000-2000 AED,1849.47,Interested
39,Male,Master’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Immunity Boost, Skin Health, Energy Levels",200-500 AED,362.36,Highly Interested
46,Male,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Keto/Low Carb,No,Somewhat Interested,"Weight Management, Anti-Aging",500-1000 AED,901.93,Highly Interested
20,Female,Bachelor’s,<2000 AED,Sharjah,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Weight Management",<200 AED,303.55,Highly Interested
29,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Energy Levels, Immunity Boost, Fitness Performance, Weight Management",500-1000 AED,531.22,Interested
43,Male,Bachelor’s,2000-5000 AED,Ras Al Khaimah,3-4 times/week,Pescatarian,Yes,Very Interested,"Anti-Aging, Energy Levels",<200 AED,253.58,Neutral
33,Female,Bachelor’s,2000-5000 AED,Ajman,Never,Vegetarian,Yes,Very Interested,"Weight Management, Energy Levels",>2000 AED,2444.44,Highly Interested
54,Female,Bachelor’s,10000-20000 AED,Sharjah,3-4 times/week,Non-Vegetarian,No,Neutral,"Fitness Performance, Skin Health, Immunity Boost",>2000 AED,2141.62,Neutral
39,Female,Bachelor’s,2000-5000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Anti-Aging, Immunity Boost",200-500 AED,230.75,Highly Interested
46,Female,Bachelor’s,5000-10000 AED,Dubai,Never,Non-Vegetarian,Yes,Not Interested,"Fitness Performance, Skin Health, Immunity Boost, Weight Management",200-500 AED,360.64,Neutral
31,Female,Bachelor’s,2000-5000 AED,Sharjah,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Weight Management, Mental Wellness, Anti-Aging, Immunity Boost, Skin Health",1000-2000 AED,1085.14,Interested
45,Prefer not to say,Bachelor’s,<2000 AED,Dubai,1-2 times/week,Vegetarian,No,Somewhat Interested,"Energy Levels, Immunity Boost",200-500 AED,290.88,Interested
22,Female,Bachelor’s,5000-10000 AED,Ras Al Khaimah,Never,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Skin Health, Weight Management, Fitness Performance, Energy Levels",1000-2000 AED,1744.6,Interested
64,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Vegetarian,No,Very Interested,"Immunity Boost, Weight Management",500-1000 AED,982.22,Interested
47,Prefer not to say,High School,2000-5000 AED,Sharjah,1-2 times/week,Vegan,Yes,Very Interested,"Fitness Performance, Mental Wellness, Anti-Aging",500-1000 AED,858.94,Neutral
63,Non-binary,Bachelor’s,<2000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Immunity Boost, Mental Wellness, Fitness Performance",1000-2000 AED,1992.63,Neutral
22,Male,High School,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Weight Management, Mental Wellness",500-1000 AED,849.17,Interested
29,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Pescatarian,Yes,Neutral,"Mental Wellness, Skin Health, Fitness Performance",>2000 AED,2293.79,Highly Interested
33,Male,Master’s,2000-5000 AED,Sharjah,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Immunity Boost, Energy Levels",>2000 AED,2672.05,Highly Interested
43,Male,Bachelor’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Vegetarian,Yes,Very Interested,"Energy Levels, Skin Health, Immunity Boost, Mental Wellness",200-500 AED,410.65,Neutral
43,Female,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Keto/Low Carb,No,Very Interested,"Immunity Boost, Energy Levels, Fitness Performance",<200 AED,248.69,Interested
38,Female,Doctorate,2000-5000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Skin Health, Mental Wellness, Immunity Boost",>2000 AED,2017.71,Interested
56,Female,Master’s,10000-20000 AED,Dubai,1-2 times/week,Vegetarian,No,Neutral,"Weight Management, Anti-Aging, Skin Health",>2000 AED,2703.2,Interested
53,Male,Doctorate,5000-10000 AED,Ajman,5+ times/week,Vegan,Yes,Very Interested,"Skin Health, Energy Levels, Immunity Boost, Anti-Aging, Weight Management",<200 AED,108.68,Neutral
50,Female,Master’s,5000-10000 AED,Abu Dhabi,Never,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Fitness Performance, Skin Health",1000-2000 AED,1631.19,Interested
47,Female,High School,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Anti-Aging",500-1000 AED,581.81,Neutral
54,Female,High School,2000-5000 AED,Dubai,Never,Non-Vegetarian,No,Somewhat Interested,"Fitness Performance, Energy Levels",200-500 AED,369.68,Neutral
40,Non-binary,Bachelor’s,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Weight Management, Mental Wellness",1000-2000 AED,1503.91,Highly Interested
27,Female,High School,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Mental Wellness, Immunity Boost, Fitness Performance, Anti-Aging",200-500 AED,204.05,Highly Interested
22,Male,Bachelor’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Energy Levels, Weight Management, Mental Wellness, Immunity Boost, Skin Health",>2000 AED,2362.87,Neutral
53,Female,Bachelor’s,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Not Interested,"Weight Management, Energy Levels, Skin Health, Fitness Performance, Mental Wellness",200-500 AED,380.33,Highly Interested
51,Male,Bachelor’s,5000-10000 AED,Dubai,1-2 times/week,Pescatarian,Yes,Neutral,"Fitness Performance, Weight Management, Anti-Aging",500-1000 AED,924.3,Neutral
48,Male,Master’s,5000-10000 AED,Sharjah,Never,Non-Vegetarian,Yes,Somewhat Interested,"Mental Wellness, Skin Health, Energy Levels",200-500 AED,466.59,Highly Interested
27,Female,Master’s,<2000 AED,Dubai,1-2 times/week,Pescatarian,Yes,Somewhat Interested,"Skin Health, Weight Management, Fitness Performance",500-1000 AED,741.92,Highly Interested
36,Male,Bachelor’s,2000-5000 AED,Abu Dhabi,5+ times/week,Vegan,Yes,Very Interested,"Skin Health, Anti-Aging, Mental Wellness, Energy Levels, Immunity Boost",500-1000 AED,864.21,Neutral
49,Female,Master’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Immunity Boost, Anti-Aging, Fitness Performance, Skin Health, Weight Management",200-500 AED,294.94,Interested
18,Male,Bachelor’s,10000-20000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,Yes,Neutral,"Immunity Boost, Energy Levels, Skin Health",500-1000 AED,671.09,Highly Interested
22,Female,Master’s,2000-5000 AED,Sharjah,5+ times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Skin Health, Mental Wellness",500-1000 AED,597.23,Neutral
62,Male,High School,10000-20000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Weight Management",<200 AED,324.78,Interested
21,Prefer not to say,Doctorate,>20000 AED,Ajman,3-4 times/week,Pescatarian,Yes,Very Interested,"Anti-Aging, Immunity Boost, Energy Levels, Skin Health",1000-2000 AED,1314.56,Interested
33,Female,Master’s,10000-20000 AED,Sharjah,Never,Pescatarian,Yes,Very Interested,"Immunity Boost, Skin Health, Anti-Aging",200-500 AED,225.31,Highly Interested
41,Male,Bachelor’s,<2000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Fitness Performance, Immunity Boost, Anti-Aging, Energy Levels",500-1000 AED,842.5,Neutral
33,Female,High School,10000-20000 AED,Ajman,Never,Vegetarian,Yes,Very Interested,"Skin Health, Weight Management, Fitness Performance, Immunity Boost",500-1000 AED,853.88,Neutral
19,Prefer not to say,Bachelor’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Immunity Boost, Weight Management, Mental Wellness, Anti-Aging",500-1000 AED,680.0,Highly Interested
45,Female,High School,>20000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Fitness Performance",200-500 AED,223.02,Neutral
49,Male,High School,5000-10000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Weight Management, Immunity Boost, Skin Health, Mental Wellness",500-1000 AED,713.15,Neutral
44,Female,Bachelor’s,<2000 AED,Dubai,3-4 times/week,Vegan,No,Somewhat Interested,"Immunity Boost, Mental Wellness, Anti-Aging, Weight Management",500-1000 AED,721.17,Interested
37,Female,Bachelor’s,10000-20000 AED,Ajman,1-2 times/week,Keto/Low Carb,Yes,Very Interested,"Immunity Boost, Weight Management, Skin Health, Energy Levels",1000-2000 AED,1668.67,Interested
41,Female,Master’s,2000-5000 AED,Sharjah,3-4 times/week,Vegetarian,Yes,Very Interested,"Immunity Boost, Fitness Performance, Weight Management, Anti-Aging, Skin Health",1000-2000 AED,1315.42,Highly Interested
29,Female,Doctorate,>20000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Mental Wellness, Fitness Performance, Anti-Aging, Energy Levels",500-1000 AED,841.3,Highly Interested
52,Male,Bachelor’s,>20000 AED,Abu Dhabi,Never,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Skin Health",<200 AED,448.6,Interested
50,Male,Bachelor’s,5000-10000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Energy Levels, Fitness Performance, Weight Management, Anti-Aging",200-500 AED,271.25,Neutral
50,Female,High School,<2000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Very Interested,"Anti-Aging, Mental Wellness, Weight Management, Immunity Boost",200-500 AED,493.68,Interested
60,Male,Master’s,5000-10000 AED,Sharjah,1-2 times/week,Vegetarian,No,Somewhat Interested,"Anti-Aging, Weight Management",200-500 AED,315.91,Interested
54,Male,Bachelor’s,<2000 AED,Abu Dhabi,3-4 times/week,Pescatarian,Yes,Neutral,"Skin Health, Anti-Aging, Weight Management, Mental Wellness, Energy Levels",500-1000 AED,633.63,Highly Interested
29,Non-binary,Doctorate,<2000 AED,Other,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Fitness Performance, Energy Levels, Weight Management",200-500 AED,326.45,Highly Interested
20,Female,Master’s,10000-20000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Mental Wellness, Skin Health",200-500 AED,228.32,Interested
18,Female,Bachelor’s,2000-5000 AED,Abu Dhabi,1-2 times/week,Keto/Low Carb,Yes,Neutral,"Mental Wellness, Immunity Boost, Energy Levels, Anti-Aging, Skin Health",<200 AED,150.28,Highly Interested
50,Female,High School,2000-5000 AED,Sharjah,1-2 times/week,Vegan,Yes,Somewhat Interested,"Anti-Aging, Immunity Boost, Weight Management, Fitness Performance, Mental Wellness",<200 AED,265.77,Interested
57,Female,Master’s,>20000 AED,Abu Dhabi,3-4 times/week,Vegetarian,No,Very Interested,"Weight Management, Anti-Aging, Immunity Boost",200-500 AED,428.73,Highly Interested
27,Female,Master’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Skin Health, Weight Management, Mental Wellness, Anti-Aging",200-500 AED,470.09,Neutral
60,Female,High School,2000-5000 AED,Sharjah,3-4 times/week,Non-Vegetarian,No,Neutral,"Weight Management, Immunity Boost, Energy Levels, Skin Health, Fitness Performance",500-1000 AED,832.41,Highly Interested
61,Male,Bachelor’s,>20000 AED,Dubai,5+ times/week,Vegan,No,Very Interested,"Immunity Boost, Mental Wellness",500-1000 AED,552.61,Interested
46,Male,Master’s,<2000 AED,Sharjah,3-4 times/week,Vegan,No,Very Interested,"Energy Levels, Skin Health, Fitness Performance",200-500 AED,401.61,Interested
30,Female,High School,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Mental Wellness, Skin Health, Energy Levels, Immunity Boost",500-1000 AED,817.71,Highly Interested
29,Female,Doctorate,>20000 AED,Ajman,1-2 times/week,Non-Vegetarian,Yes,Neutral,"Mental Wellness, Energy Levels",200-500 AED,441.73,Highly Interested
48,Male,Bachelor’s,>20000 AED,Ajman,3-4 times/week,Pescatarian,Yes,Very Interested,"Immunity Boost, Weight Management, Energy Levels, Fitness Performance, Mental Wellness",200-500 AED,447.57,Highly Interested
63,Male,High School,5000-10000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Weight Management, Mental Wellness, Energy Levels, Skin Health",<200 AED,447.28,Neutral
19,Male,Master’s,2000-5000 AED,Dubai,1-2 times/week,Vegetarian,Yes,Very Interested,"Skin Health, Fitness Performance, Weight Management, Energy Levels, Immunity Boost",500-1000 AED,707.07,Highly Interested
52,Male,Bachelor’s,2000-5000 AED,Other,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Skin Health, Mental Wellness, Fitness Performance, Anti-Aging, Weight Management",500-1000 AED,848.93,Interested
40,Female,Bachelor’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Vegetarian,Yes,Very Interested,"Skin Health, Energy Levels, Mental Wellness",200-500 AED,280.48,Not Interested
34,Male,High School,10000-20000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Weight Management, Mental Wellness, Skin Health",200-500 AED,499.8,Neutral
43,Female,High School,5000-10000 AED,Dubai,5+ times/week,Pescatarian,Yes,Neutral,"Anti-Aging, Energy Levels, Immunity Boost, Weight Management, Skin Health",1000-2000 AED,1175.33,Highly Interested
25,Female,Bachelor’s,2000-5000 AED,Abu Dhabi,5+ times/week,Keto/Low Carb,Yes,Somewhat Interested,"Immunity Boost, Energy Levels, Weight Management, Skin Health",200-500 AED,203.03,Neutral
46,Female,Bachelor’s,<2000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Weight Management",200-500 AED,244.64,Highly Interested
43,Female,Bachelor’s,<2000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,No,Very Interested,"Anti-Aging, Weight Management",1000-2000 AED,1775.87,Interested
27,Male,Master’s,10000-20000 AED,Dubai,3-4 times/week,Non-Vegetarian,No,Very Interested,"Fitness Performance, Energy Levels, Anti-Aging, Mental Wellness",1000-2000 AED,1446.78,Neutral
43,Female,Bachelor’s,5000-10000 AED,Sharjah,3-4 times/week,Non-Vegetarian,No,Somewhat Interested,"Energy Levels, Anti-Aging, Fitness Performance, Weight Management, Skin Health",500-1000 AED,723.75,Interested
51,Male,High School,>20000 AED,Abu Dhabi,1-2 times/week,Vegetarian,No,Very Interested,"Weight Management, Immunity Boost",500-1000 AED,977.51,Interested
58,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Keto/Low Carb,No,Very Interested,"Mental Wellness, Fitness Performance, Skin Health, Anti-Aging, Immunity Boost",200-500 AED,475.89,Highly Interested
24,Prefer not to say,Doctorate,2000-5000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Fitness Performance, Energy Levels, Anti-Aging, Skin Health, Mental Wellness",<200 AED,224.48,Highly Interested
21,Male,Master’s,5000-10000 AED,Sharjah,5+ times/week,Non-Vegetarian,No,Somewhat Interested,"Anti-Aging, Weight Management, Fitness Performance, Immunity Boost, Mental Wellness",500-1000 AED,604.53,Interested
62,Male,Bachelor’s,5000-10000 AED,Ras Al Khaimah,3-4 times/week,Vegetarian,Yes,Neutral,"Fitness Performance, Skin Health, Weight Management, Anti-Aging",<200 AED,439.39,Highly Interested
28,Female,Bachelor’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Pescatarian,Yes,Not Interested,"Weight Management, Energy Levels, Fitness Performance, Immunity Boost",500-1000 AED,953.01,Not Interested
46,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Vegan,Yes,Somewhat Interested,"Anti-Aging, Skin Health, Immunity Boost, Fitness Performance",>2000 AED,2541.6,Neutral
53,Female,Master’s,10000-20000 AED,Dubai,3-4 times/week,Keto/Low Carb,Yes,Very Interested,"Weight Management, Mental Wellness, Fitness Performance",>2000 AED,2629.42,Neutral
42,Male,Master’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Vegan,Yes,Very Interested,"Mental Wellness, Fitness Performance, Energy Levels, Immunity Boost",200-500 AED,277.07,Interested
38,Non-binary,Master’s,2000-5000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Neutral,"Fitness Performance, Weight Management, Skin Health, Anti-Aging, Mental Wellness",500-1000 AED,900.4,Interested
53,Female,Master’s,<2000 AED,Sharjah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Anti-Aging, Energy Levels, Weight Management, Skin Health",500-1000 AED,816.06,Neutral
27,Female,Master’s,10000-20000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Not Interested,"Mental Wellness, Fitness Performance, Weight Management, Immunity Boost",1000-2000 AED,1503.51,Neutral
54,Non-binary,High School,<2000 AED,Ras Al Khaimah,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Weight Management, Immunity Boost, Mental Wellness",200-500 AED,218.03,Interested
26,Male,Bachelor’s,2000-5000 AED,Other,1-2 times/week,Non-Vegetarian,Yes,Not Interested,"Fitness Performance, Skin Health, Immunity Boost, Energy Levels, Mental Wellness",<200 AED,466.37,Highly Interested
41,Prefer not to say,High School,<2000 AED,Abu Dhabi,3-4 times/week,Vegetarian,Yes,Neutral,"Weight Management, Anti-Aging, Mental Wellness",200-500 AED,384.64,Highly Interested
52,Male,High School,5000-10000 AED,Ras Al Khaimah,5+ times/week,Vegetarian,Yes,Neutral,"Mental Wellness, Energy Levels, Skin Health, Anti-Aging",200-500 AED,257.81,Interested
52,Female,Master’s,2000-5000 AED,Sharjah,Never,Non-Vegetarian,No,Very Interested,"Anti-Aging, Energy Levels, Fitness Performance, Mental Wellness, Weight Management",200-500 AED,381.92,Interested
53,Male,Bachelor’s,5000-10000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Energy Levels, Skin Health, Immunity Boost",1000-2000 AED,1677.46,Neutral
35,Female,Bachelor’s,>20000 AED,Dubai,5+ times/week,Vegan,Yes,Very Interested,"Skin Health, Anti-Aging, Weight Management, Energy Levels",500-1000 AED,762.89,Highly Interested
56,Male,High School,<2000 AED,Abu Dhabi,3-4 times/week,Vegetarian,No,Very Interested,"Fitness Performance, Mental Wellness",200-500 AED,415.43,Highly Interested
49,Female,Bachelor’s,<2000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,No,Very Interested,"Energy Levels, Mental Wellness, Immunity Boost",500-1000 AED,790.73,Highly Interested
41,Female,High School,2000-5000 AED,Ajman,3-4 times/week,Vegetarian,Yes,Somewhat Interested,"Anti-Aging, Mental Wellness, Fitness Performance, Energy Levels",<200 AED,479.11,Highly Interested
40,Prefer not to say,High School,10000-20000 AED,Abu Dhabi,3-4 times/week,Vegetarian,No,Very Interested,"Mental Wellness, Anti-Aging, Fitness Performance",1000-2000 AED,1053.7,Highly Interested
49,Male,Bachelor’s,2000-5000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Weight Management, Mental Wellness, Skin Health, Immunity Boost",>2000 AED,2106.25,Interested
54,Female,Bachelor’s,2000-5000 AED,Sharjah,1-2 times/week,Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Weight Management, Mental Wellness",>2000 AED,2173.67,Interested
29,Female,Bachelor’s,<2000 AED,Dubai,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Fitness Performance, Immunity Boost, Skin Health",1000-2000 AED,1690.17,Interested
30,Male,High School,10000-20000 AED,Other,3-4 times/week,Non-Vegetarian,No,Not Interested,"Mental Wellness, Skin Health, Energy Levels",200-500 AED,393.68,Highly Interested
40,Male,High School,5000-10000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,Yes,Very Interested,"Weight Management, Immunity Boost, Skin Health, Energy Levels",<200 AED,456.82,Highly Interested
42,Male,Bachelor’s,10000-20000 AED,Dubai,3-4 times/week,Vegetarian,Yes,Very Interested,"Energy Levels, Mental Wellness",500-1000 AED,866.44,Interested
52,Female,Bachelor’s,>20000 AED,Sharjah,5+ times/week,Vegetarian,Yes,Somewhat Interested,"Immunity Boost, Weight Management, Energy Levels, Skin Health, Mental Wellness",>2000 AED,2508.36,Neutral
58,Female,Master’s,2000-5000 AED,Dubai,5+ times/week,Vegetarian,Yes,Neutral,"Fitness Performance, Anti-Aging",200-500 AED,497.55,Highly Interested
47,Female,Bachelor’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Vegetarian,Yes,Very Interested,"Energy Levels, Mental Wellness, Anti-Aging, Immunity Boost",<200 AED,206.44,Neutral
34,Male,Bachelor’s,<2000 AED,Abu Dhabi,5+ times/week,Non-Vegetarian,No,Very Interested,"Skin Health, Energy Levels, Fitness Performance, Anti-Aging",1000-2000 AED,1833.19,Highly Interested
37,Male,Master’s,10000-20000 AED,Abu Dhabi,3-4 times/week,Non-Vegetarian,Yes,Somewhat Interested,"Fitness Performance, Mental Wellness, Immunity Boost, Skin Health",<200 AED,270.72,Neutral
42,Male,High School,5000-10000 AED,Other,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Immunity Boost, Weight Management",500-1000 AED,824.37,Neutral
39,Prefer not to say,Bachelor’s,10000-20000 AED,Abu Dhabi,1-2 times/week,Non-Vegetarian,No,Somewhat Interested,"Anti-Aging, Energy Levels",500-1000 AED,863.63,Highly Interested
30,Male,Master’s,<2000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Neutral,"Energy Levels, Anti-Aging, Fitness Performance, Weight Management, Mental Wellness",200-500 AED,390.13,Interested
36,Male,Bachelor’s,2000-5000 AED,Abu Dhabi,3-4 times/week,Pescatarian,Yes,Not Interested,"Mental Wellness, Weight Management, Skin Health",<200 AED,156.2,Highly Interested
53,Male,Bachelor’s,2000-5000 AED,Ras Al Khaimah,3-4 times/week,Vegan,Yes,Very Interested,"Skin Health, Anti-Aging, Weight Management",1000-2000 AED,1442.95,Neutral
29,Female,Doctorate,2000-5000 AED,Dubai,3-4 times/week,Vegan,Yes,Very Interested,"Energy Levels, Weight Management, Immunity Boost",500-1000 AED,780.72,Interested
58,Prefer not to say,Master’s,2000-5000 AED,Dubai,Never,Non-Vegetarian,Yes,Very Interested,"Anti-Aging, Fitness Performance, Energy Levels, Skin Health, Weight Management",>2000 AED,2849.04,Interested
36,Female,Bachelor’s,2000-5000 AED,Dubai,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Mental Wellness, Anti-Aging, Fitness Performance, Weight Management",200-500 AED,333.09,Interested
29,Female,Bachelor’s,<2000 AED,Dubai,5+ times/week,Non-Vegetarian,Yes,Very Interested,"Energy Levels, Weight Management, Mental Wellness, Immunity Boost, Skin Health",<200 AED,467.5,Neutral
26,Female,Bachelor’s,5000-10000 AED,Ajman,3-4 times/week,Non-Vegetarian,Yes,Very Interested,"Skin Health, Anti-Aging, Mental Wellness, Energy Levels",1000-2000 AED,1440.37,Highly Interested
24,Male,Bachelor’s,10000-20000 AED,Sharjah,5+ times/week,Non-Vegetarian,No,Not Interested,"Anti-Aging, Skin Health, Energy Levels",500-1000 AED,774.39,Interested
45,Prefer not to say,Bachelor’s,5000-10000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Neutral,"Fitness Performance, Immunity Boost, Weight Management, Mental Wellness, Energy Levels",200-500 AED,438.89,Highly Interested
31,Female,Bachelor’s,<2000 AED,Sharjah,5+ times/week,Keto/Low Carb,No,Very Interested,"Weight Management, Immunity Boost, Anti-Aging, Skin Health",1000-2000 AED,1583.07,Highly Interested
48,Female,Bachelor’s,5000-10000 AED,Dubai,5+ times/week,Non-Vegetarian,No,Very Interested,"Energy Levels, Fitness Performance, Immunity Boost",200-500 AED,488.07,Interested
36,Female,Bachelor’s,<2000 AED,Other,5+ times/week,Vegan,Yes,Very Interested,"Weight Management, Immunity Boost, Skin Health",200-500 AED,398.1,Highly Interested
